
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
028C          ; LATIN ; Atomic-no-uppercase # L& (ʌ) LATIN SMALL LETTER TURNED V
028D          ; LATIN ; Atomic-no-uppercase # L& (ʍ) LATIN SMALL LETTER TURNED W
028F          ; LATIN ; Atomic-no-uppercase # L& (ʏ) LATIN LETTER SMALL CAPITAL Y
018D          ; LATIN ; Atomic-no-uppercase # L& (ƍ) LATIN SMALL LETTER TURNED DELTA
0290          ; LATIN ; Atomic-no-uppercase # L& (ʐ) LATIN SMALL LETTER Z WITH RETROFLEX HOOK
0291          ; LATIN ; Atomic-no-uppercase # L& (ʑ) LATIN SMALL LETTER Z WITH CURL
01BA          ; LATIN ; Atomic-no-uppercase # L& (ƺ) LATIN SMALL LETTER EZH WITH TAIL
0293          ; LATIN ; Atomic-no-uppercase # L& (ʓ) LATIN SMALL LETTER EZH WITH CURL
01BB          ; LATIN ; Atomic-no-uppercase # Lo (ƻ) LATIN LETTER TWO WITH STROKE
0295          ; LATIN ; Atomic-no-uppercase # L& (ʕ) LATIN LETTER PHARYNGEAL VOICED FRICATIVE
02A1          ; LATIN ; Atomic-no-uppercase # L& (ʡ) LATIN LETTER GLOTTAL STOP WITH STROKE
02A2          ; LATIN ; Atomic-no-uppercase # L& (ʢ) LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
0296          ; LATIN ; Atomic-no-uppercase # L& (ʖ) LATIN LETTER INVERTED GLOTTAL STOP
01C0          ; LATIN ; Atomic-no-uppercase # Lo (ǀ) LATIN LETTER DENTAL CLICK
01C1          ; LATIN ; Atomic-no-uppercase # Lo (ǁ) LATIN LETTER LATERAL CLICK
01C2          ; LATIN ; Atomic-no-uppercase # Lo (ǂ) LATIN LETTER ALVEOLAR CLICK
01C3          ; LATIN ; Atomic-no-uppercase # Lo (ǃ) LATIN LETTER RETROFLEX CLICK
0297          ; LATIN ; Atomic-no-uppercase # L& (ʗ) LATIN LETTER STRETCHED C
0298          ; LATIN ; Atomic-no-uppercase # L& (ʘ) LATIN LETTER BILABIAL CLICK
02AC          ; LATIN ; Atomic-no-uppercase # L& (ʬ) LATIN LETTER BILABIAL PERCUSSIVE
02AD          ; LATIN ; Atomic-no-uppercase # L& (ʭ) LATIN LETTER BIDENTAL PERCUSSIVE

# Total code points: 87

# Decomposable
00E1          ; LATIN ; Decomposable # L& (á) LATIN SMALL LETTER A WITH ACUTE
00E0          ; LATIN ; Decomposable # L& (à) LATIN SMALL LETTER A WITH GRAVE
0103          ; LATIN ; Decomposable # L& (ă) LATIN SMALL LETTER A WITH BREVE
1EAF          ; LATIN ; Decomposable # L& (ắ) LATIN SMALL LETTER A WITH BREVE AND ACUTE
1EB1          ; LATIN ; Decomposable # L& (ằ) LATIN SMALL LETTER A WITH BREVE AND GRAVE
1EB5          ; LATIN ; Decomposable # L& (ẵ) LATIN SMALL LETTER A WITH BREVE AND TILDE
1EB3          ; LATIN ; Decomposable # L& (ẳ) LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
00E2          ; LATIN ; Decomposable # L& (â) LATIN SMALL LETTER A WITH CIRCUMFLEX
1EA5          ; LATIN ; Decomposable # L& (ấ) LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA7          ; LATIN ; Decomposable # L& (ầ) LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
1EAB          ; LATIN ; Decomposable # L& (ẫ) LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
1EA9          ; LATIN ; Decomposable # L& (ẩ) LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
